"territory_id","name","name_ko","level","review_status","review_reason","existing_values","newly_filled_values","changed_existing_values","first_added_year","filled_2025","retained_2025","population_source","population_confidence"
"696305e929eff1ac4e15ab21","Xizang","티벳","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"696305ec29eff1ac4e15ab24","Yunnan","운남","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"696305f229eff1ac4e15ab2a","Hainan","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"696305f529eff1ac4e15ab2d","Shanghai","","city","기존값 유지","기존 연결값 유지. 새로 채운 21개 연도값은 근거 미확인","19","21","0","-2700","15,845,455","","기존 호구·인구 자료 연결",""
"696305f829eff1ac4e15ab31","Tianjin","","province","기존값 유지","기존 연결값 유지. 새로 채운 17개 연도값은 근거 미확인","23","17","0","-2700","8,845,455","","기존 호구·인구 자료 연결",""
"696305fa29eff1ac4e15ab34","Chongqing","충칭","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"696305fa29eff1ac4e15ab35","Guizhou","귀주","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"696305fc29eff1ac4e15ab37","Ningxia","녕하","country","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 10개 영토에 반복","0","40","0","-2700","10,000,000","","",""
"6963060729eff1ac4e15ab42","Maga Buryatdan","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963060929eff1ac4e15ab43","Sakha (Yakutia)","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963061829eff1ac4e15ab47","Israel","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963061829eff1ac4e15ab48","Syria","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963061b29eff1ac4e15ab4b","Ukraine","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963061d29eff1ac4e15ab4c","Uzbekistan","우즈베키스탄","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963061f29eff1ac4e15ab4f","Czechia","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963062029eff1ac4e15ab50","Germany","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963062229eff1ac4e15ab52","Cambodia","캄보디아","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963062329eff1ac4e15ab53","North Macedonia","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963062429eff1ac4e15ab54","Turkey","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963062629eff1ac4e15ab56","Romania","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963062629eff1ac4e15ab57","Hungary","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963062729eff1ac4e15ab58","Austria","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963062829eff1ac4e15ab5a","Italy","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963062a29eff1ac4e15ab5b","Switzerland","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963062a29eff1ac4e15ab5c","Iran","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963062b29eff1ac4e15ab5d","Republic of Serbia","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963062d29eff1ac4e15ab5f","Bulgaria","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963063229eff1ac4e15ab64","Hong Kong S.A.R.","","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"6963063329eff1ac4e15ab65","Philippines","필리핀","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963063629eff1ac4e15ab66","Taiwan","","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6963063929eff1ac4e15ab69","Guam","","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"69702eab19d896426e48f5eb","Jinan","제남","city","기존값 유지","기존 연결값 유지. 새로 채운 12개 연도값은 근거 미확인","28","12","0","-2700","5,854,545","","기존 호구·인구 자료 연결",""
"6978333533e6ea6b49991d71","Qingzhou","청주","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"697833f133e6ea6b49991d72","Zhangjiakou","장가구","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"69783cab33e6ea6b49991d75","Tengzhou","텅저우시","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"697847e933e6ea6b49991d78","Suining","쑤이닝현","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"6978489433e6ea6b49991d79","Zibo","치박","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"697849cd33e6ea6b49991d7a","Hengshui","헝수이시","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"69784ab933e6ea6b49991d7c","Baotou","바오터우시","province","기존값 유지","기존 연결값 유지. 새로 채운 14개 연도값은 근거 미확인","26","14","0","-2700","1,781,818","","기존 호구·인구 자료 연결",""
"69784bde33e6ea6b49991d7e","Dezhou","더저우시","city","기존값 유지","기존 연결값 유지. 새로 채운 12개 연도값은 근거 미확인","28","12","0","-2700","3,627,273","","기존 호구·인구 자료 연결",""
"69784cf933e6ea6b49991d7f","Xi'an","시안시","city","기존값 유지","기존 연결값 유지. 새로 채운 12개 연도값은 근거 미확인","28","12","0","-2700","8,272,727","","기존 호구·인구 자료 연결",""
"69787d24b92377c2f7ef379f","Tianshui","천수","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"69787d75b92377c2f7ef37a0","Pingliang","평량","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"69787e8fb92377c2f7ef37a2","Baiyin City","바이인시","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"69787eb2b92377c2f7ef37a3","Lanzhou","란저우시","city","기존값 유지","기존 연결값 유지. 새로 채운 12개 연도값은 근거 미확인","28","12","0","-2700","2,545,455","","기존 호구·인구 자료 연결",""
"69788294055c9be030819c58","Xining City","시닝시","city","기존값 유지","기존 연결값 유지. 새로 채운 14개 연도값은 근거 미확인","26","14","0","-2700","1,527,273","","기존 호구·인구 자료 연결",""
"6978832a055c9be030819c59","Dingxi City","정서","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"6978839d055c9be030819c5a","Haidong","하이둥시","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"697883d6055c9be030819c5b","Jiuquan","주취안시","city","기존값 유지","기존 연결값 유지. 새로 채운 12개 연도값은 근거 미확인","28","12","0","-2700","127,273","","기존 호구·인구 자료 연결",""
"69788478055c9be030819c5e","Aksu Prefecture","아크수지구","province","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 189개 영토에 반복","0","40","0","-2700","3,000,000","","",""
"6978856d055c9be030819c60","Taiyuan City","타이위안시","city","기존값 유지","기존 연결값 유지. 새로 채운 12개 연도값은 근거 미확인","28","12","0","-2700","3,372,727","","기존 호구·인구 자료 연결",""
"6978859e055c9be030819c61","Jinzhong City","진중시","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"697885b3055c9be030819c62","Changzhi City","창즈시","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"697885d0055c9be030819c63","Jincheng City","진청시","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"69788604055c9be030819c64","Xingtai","싱타이시","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"69788625055c9be030819c65","Handan","한단시","city","기존값 유지","기존 연결값 유지. 새로 채운 12개 연도값은 근거 미확인","28","12","0","-2700","5,981,818","","기존 호구·인구 자료 연결",""
"6978864a055c9be030819c66","Jiyuan","지위안시","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"69788668055c9be030819c67","Luoyang","뤄양시","city","기존값 유지","기존 연결값 유지. 새로 채운 12개 연도값은 근거 미확인","28","12","0","-2700","4,581,818","","기존 호구·인구 자료 연결",""
"69788683055c9be030819c68","Sanmenxia","싼먼샤시","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"69788696055c9be030819c69","Yuncheng City","윈청시","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"697886b1055c9be030819c6a","Yan'an","옌안시","city","재검증 필요","기존 영토·인구 원천값 없음. 동일 곡선 259개 영토에 반복","0","40","0","-2700","1,000,000","","",""
"697886fb055c9be030819c6c","Shangqiu","상추시","city","기존값 유지","기존 연결값 유지. 새로 채운 12개 연도값은 근거 미확인","28","12","0","-2700","4,581,818","","기존 호구·인구 자료 연결",""
"69788720055c9be030819c6d","Zhengzhou","정저우시","city","기존값 유지","기존 연결값 유지. 새로 채운 12개 연도값은 근거 미확인","28","12","0","-2700","8,018,182","","기존 호구·인구 자료 연결",""
