"territory_id","revision","name","name_ko","level","country","population_source","population_confidence","pop_-2700","pop_-2500","pop_-2333","pop_-2000","pop_-1500","pop_-1000","pop_-500","pop_-200","pop_0","pop_200","pop_400","pop_500","pop_600","pop_650","pop_700","pop_750","pop_800","pop_900","pop_1000","pop_1050","pop_1100","pop_1127","pop_1150","pop_1200","pop_1231","pop_1250","pop_1280","pop_1300","pop_1350","pop_1400","pop_1450","pop_1500","pop_1600","pop_1700","pop_1800","pop_1850","pop_1900","pop_1950","pop_2000","pop_2025"
"696305e929eff1ac4e15ab21","0","Xizang","티벳","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"696305ec29eff1ac4e15ab24","0","Yunnan","운남","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"696305f229eff1ac4e15ab2a","0","Hainan","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"696305f529eff1ac4e15ab2d","0","Shanghai","","city","","기존 호구·인구 자료 연결","","","","","","","","","","","","","","","","","","2365500","2490000","2863500","3610500","4606500","4482000","4108500","4855500","4108500","3237000","2739000","2863500","2614500","3112500","3486000","3984000","4980000","5976000","8715000","","","","",""
"696305f829eff1ac4e15ab31","0","Tianjin","","province","","기존 호구·인구 자료 연결","","","","","","","","","","","","","","1112000","1390000","1529000","1807000","1320500","1390000","1598500","2015500","2571500","2502000","2293500","2710500","2293500","1807000","1529000","1598500","1459500","1737500","1946000","2224000","2780000","3336000","4865000","","","","",""
"696305fa29eff1ac4e15ab34","0","Chongqing","충칭","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"696305fa29eff1ac4e15ab35","0","Guizhou","귀주","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"696305fc29eff1ac4e15ab37","0","Ningxia","녕하","country","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963060729eff1ac4e15ab42","0","Maga Buryatdan","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963060929eff1ac4e15ab43","0","Sakha (Yakutia)","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963061829eff1ac4e15ab47","0","Israel","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963061829eff1ac4e15ab48","0","Syria","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963061b29eff1ac4e15ab4b","0","Ukraine","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963061d29eff1ac4e15ab4c","0","Uzbekistan","우즈베키스탄","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963061f29eff1ac4e15ab4f","0","Czechia","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963062029eff1ac4e15ab50","0","Germany","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963062229eff1ac4e15ab52","0","Cambodia","캄보디아","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963062329eff1ac4e15ab53","0","North Macedonia","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963062429eff1ac4e15ab54","0","Turkey","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963062629eff1ac4e15ab56","0","Romania","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963062629eff1ac4e15ab57","0","Hungary","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963062729eff1ac4e15ab58","0","Austria","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963062829eff1ac4e15ab5a","0","Italy","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963062a29eff1ac4e15ab5b","0","Switzerland","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963062a29eff1ac4e15ab5c","0","Iran","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963062b29eff1ac4e15ab5d","0","Republic of Serbia","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963062d29eff1ac4e15ab5f","0","Bulgaria","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963063229eff1ac4e15ab64","0","Hong Kong S.A.R.","","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963063329eff1ac4e15ab65","0","Philippines","필리핀","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963063629eff1ac4e15ab66","0","Taiwan","","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6963063929eff1ac4e15ab69","0","Guam","","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69702eab19d896426e48f5eb","0","Jinan","제남","city","","기존 호구·인구 자료 연결","","","","","","","","","506000","598000","165600","276000","414000","736000","920000","1012000","1196000","874000","920000","1058000","1334000","1702000","1656000","1518000","1794000","1518000","1196000","1012000","1058000","966000","1150000","1288000","1472000","1840000","2208000","3220000","","","","",""
"6978333533e6ea6b49991d71","0","Qingzhou","청주","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"697833f133e6ea6b49991d72","0","Zhangjiakou","장가구","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69783cab33e6ea6b49991d75","0","Tengzhou","텅저우시","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"697847e933e6ea6b49991d78","0","Suining","쑤이닝현","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6978489433e6ea6b49991d79","0","Zibo","치박","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"697849cd33e6ea6b49991d7a","0","Hengshui","헝수이시","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69784ab933e6ea6b49991d7c","0","Baotou","바오터우시","province","","기존 호구·인구 자료 연결","","","","","","","","","","","50400","84000","126000","224000","280000","308000","364000","266000","280000","322000","406000","518000","504000","462000","546000","462000","364000","308000","322000","294000","350000","392000","448000","560000","672000","980000","","","","",""
"69784bde33e6ea6b49991d7e","0","Dezhou","더저우시","city","","기존 호구·인구 자료 연결","","","","","","","","","313500","370500","102600","171000","256500","456000","570000","627000","741000","541500","570000","655500","826500","1054500","1026000","940500","1111500","940500","741000","627000","655500","598500","712500","798000","912000","1140000","1368000","1995000","","","","",""
"69784cf933e6ea6b49991d7f","0","Xi'an","시안시","city","","기존 호구·인구 자료 연결","","","","","","","","","715000","845000","234000","390000","585000","1040000","1300000","1430000","1690000","1235000","1300000","1495000","1885000","2405000","2340000","2145000","2535000","2145000","1690000","1430000","1495000","1365000","1625000","1820000","2080000","2600000","3120000","4550000","","","","",""
"69787d24b92377c2f7ef379f","0","Tianshui","천수","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69787d75b92377c2f7ef37a0","0","Pingliang","평량","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69787e8fb92377c2f7ef37a2","0","Baiyin City","바이인시","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69787eb2b92377c2f7ef37a3","0","Lanzhou","란저우시","city","","기존 호구·인구 자료 연결","","","","","","","","","220000","260000","72000","120000","180000","320000","400000","440000","520000","380000","400000","460000","580000","740000","720000","660000","780000","660000","520000","440000","460000","420000","500000","560000","640000","800000","960000","1400000","","","","",""
"69788294055c9be030819c58","0","Xining City","시닝시","city","","기존 호구·인구 자료 연결","","","","","","","","","","","43200","72000","108000","192000","240000","264000","312000","228000","240000","276000","348000","444000","432000","396000","468000","396000","312000","264000","276000","252000","300000","336000","384000","480000","576000","840000","","","","",""
"6978832a055c9be030819c59","0","Dingxi City","정서","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6978839d055c9be030819c5a","0","Haidong","하이둥시","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"697883d6055c9be030819c5b","0","Jiuquan","주취안시","city","","기존 호구·인구 자료 연결","","","","","","","","","11000","13000","3600","6000","9000","16000","20000","22000","26000","19000","20000","23000","29000","37000","36000","33000","39000","33000","26000","22000","23000","21000","25000","28000","32000","40000","48000","70000","","","","",""
"69788478055c9be030819c5e","0","Aksu Prefecture","아크수지구","province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6978856d055c9be030819c60","0","Taiyuan City","타이위안시","city","","기존 호구·인구 자료 연결","","","","","","","","","291500","344500","95400","159000","238500","424000","530000","583000","689000","503500","530000","609500","768500","980500","954000","874500","1033500","874500","689000","583000","609500","556500","662500","742000","848000","1060000","1272000","1855000","","","","",""
"6978859e055c9be030819c61","0","Jinzhong City","진중시","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"697885b3055c9be030819c62","0","Changzhi City","창즈시","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"697885d0055c9be030819c63","0","Jincheng City","진청시","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69788604055c9be030819c64","0","Xingtai","싱타이시","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69788625055c9be030819c65","0","Handan","한단시","city","","기존 호구·인구 자료 연결","","","","","","","","","517000","611000","169200","282000","423000","752000","940000","1034000","1222000","893000","940000","1081000","1363000","1739000","1692000","1551000","1833000","1551000","1222000","1034000","1081000","987000","1175000","1316000","1504000","1880000","2256000","3290000","","","","",""
"6978864a055c9be030819c66","0","Jiyuan","지위안시","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69788668055c9be030819c67","0","Luoyang","뤄양시","city","","기존 호구·인구 자료 연결","","","","","","","","","396000","468000","129600","216000","324000","576000","720000","792000","936000","684000","720000","828000","1044000","1332000","1296000","1188000","1404000","1188000","936000","792000","828000","756000","900000","1008000","1152000","1440000","1728000","2520000","","","","",""
"69788683055c9be030819c68","0","Sanmenxia","싼먼샤시","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69788696055c9be030819c69","0","Yuncheng City","윈청시","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"697886b1055c9be030819c6a","0","Yan'an","옌안시","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"697886fb055c9be030819c6c","0","Shangqiu","상추시","city","","기존 호구·인구 자료 연결","","","","","","","","","396000","468000","129600","216000","324000","576000","720000","792000","936000","684000","720000","828000","1044000","1332000","1296000","1188000","1404000","1188000","936000","792000","828000","756000","900000","1008000","1152000","1440000","1728000","2520000","","","","",""
"69788720055c9be030819c6d","0","Zhengzhou","정저우시","city","","기존 호구·인구 자료 연결","","","","","","","","","693000","819000","226800","378000","567000","1008000","1260000","1386000","1638000","1197000","1260000","1449000","1827000","2331000","2268000","2079000","2457000","2079000","1638000","1386000","1449000","1323000","1575000","1764000","2016000","2520000","3024000","4410000","","","","",""
"6978875b055c9be030819c6e","0","Xuchang","쉬창시","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6978877c055c9be030819c6f","0","Zhoukou","저우커우시","city","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
